fawn|হরিণ-শিশু
mr|মি.
probability|সম্ভাব্য
encoding|এনকোডিং
dithered|দ্বিধাগ্রস্ত
misc|বিবিধ
antiquity|প্রাচীন নিদর্শন
elder|বয়োজ্যেষ্ঠ
high-caste.brahmin|উচ্চ গোত্রীয় ব্রাহ্মণ
effortless|অনায়াস
miss|লক্ষ্যভ্রষ্ট হওয়া,লক্ষ্যভ্রষ্ট হওয়া,কুমারী
ninth|নবম
horse|ঘোড়া
perturbation|বিচলন
errors|ত্রুটি
blossom|প্রস্ফুটিত হওয়া
st.|সেন্ট
new.orleans|নিউ অর্লিন্স
airborne|বায়ুবাহিত,বায়ু-বাহিত
scholars|পন্ডিত
minion|ভৃত্ত
station|স্টেশন
gibraltar|জিবরাল্টার
nigeria|নাইজেরিয়া
hundred|শত
banana|কলা
white.dwarf|সাদা বামনতারা
schema|স্কীমা
jamil|জামিল
passed|পাশ
autoselect|স্বয়ংক্রিয় নির্বাচন
128kbps|১২৮কেবিপিএস
recursively|পুনরাবৃত্তভাবে
prediction|ভবিষ্যদ্বাণী
adulate|হীনভাবে তোষামোদ করা
jordan|জর্ডান
boredom|একঘেঁয়েমি জনিত বিরক্তি
wrong-doing|অপরাধ
authors|লেখক
albums|অ্যালবাম
port.elizabeth|পোর্ট এলিজাবেথ
dth|ডিটিএইচ
state-owned|সরকারি মালিকানাধীন
anticipate|আশা করা
heavyweight|হভিওয়েট
dtd|ডিটিডি
nevertheless|তাহলেও,তা সত্ত্বেও
intensities|তীব্রতা
recovered|উদ্ধারকৃত
dts|ডিটিএস
wastage|অপচয়,অপব্যয়
toward|দিকে
escape.velocity|মুক্তিবেগ
contraception|গর্ভনিরো‌ধ
alongside|পাশাপাশি,নিকটবর্তী
juicy|রসাল
gedit|জীএডিট
affirmative|স্বীকৃতি সূচক
randomly|এলোমেলোভাবে
juice|রস
french.ship|ফরাসি জাহাজ
al.manamah|আল মানামা
null|ফাঁকা
macao|ম্যাকাও
vulnerable|ভেদ্য,আহত বা ক্ষত করা যায় এমন
lie|অবস্থান করা
bharatiya.janata.party|ভারতীয় জনতা পার্টি
koala|কোয়ালা
adrift|ভাসমান অবস্থায়
patterns|নকশা
cherokee|চেরোকী
shut.off|বন্ধ করা
cave|গুহা,গুহা,গহ্বর
scotland|স্কটল্যান্ড,স্কটল্যান্ড
officers|অফিসার
camouflage|ধুলো দেওয়া
steal|চুরি,চুরি করা
labour|শ্রম
lip|ঠোঁট
useless|অর্থহীন,ব্যবহার নাই,অকেজো
caliphate|খিলাফত
torvalds|টোরভাল্ডস
experienced|অভিজ্ঞ
quote|উদ্ধৃত করা,উদ্ধৃত করা
virgin|কুমারী,কুমারী,ভার্জিন,বিশুদ্ধ,অবিবাহিতা মেয়ে
quota|কোটা
steam|বাষ্প
sitemaps|সাইট নির্দেশিকা
plunder|লুঠের মাল
hired|ভাড়াটে
eaten|খাদিত
abundant.life|অনন্ত জীবন
alpha|আলফা,গ্রীক বর্নমালার প্রথম অক্ষর
approved|অনুমোদিত,অনুমোদিত
ananda.mohan.bose|আনন্দমোহন বসু
spit.up|ব‌মি,ব‌মি করা,ব‌মি করা
nangalkoat|নাঙ্গলকোট
chronicle|ধারাবিবরণী
mobile|চলমান,মোবাইল
clear|পরিষ্কার,মুছে ফেলো,মুছে ফেলা
popularity|জনপ্রিয়তা
chromatic.aberration|বর্ণাপেরণ
málaga|মালাগা
electrons|ইলেকট্রন
clean|পরিষ্কার,পরিচ্ছন্ন,পরিষ্কার করা
velocity|বেগ
usual|প্রথাগত,প্রচলিত
physics|পদার্থবিজ্ঞান
surrey|সারে
humid|আর্দ্র,আর্দ্র
languid|অবসন্ন
commas|কমা
manaslu|মানাসলু
tamilians|তামিল জনগোষ্ঠী
wounded|আহত
tasneem|তাসনীম
sheepskin|ভেড়ার চামড়া
consonant|ব্যঞ্জণবর্ণ
negligence|অবহেলা
completion|পরিপূরণ
dial.out|ডায়াল করা
copyright|কপিরাইট,সত্ত্বাধিকার,কপিরাইট
justice|সুবিচার
cyclobutane|সাইক্লোবিউটেন
less|কম
paranoia|প্যারানয়া
destabilize|অস্থিতিশীল করা
perugia|পেরুজিয়া
flights|উড়ান
pretty|মনোরম,সুশ্রী,আকর্ষণীয়,মনোরম,সুদৃশ্য
circle|বৃত্ত
darwin|ডারুইন
proximity|নৈকট্য
americium|আমেরিকিয়াম
executive|কার্যকরী
officials|কর্মকর্তা
unmounted|আনমাউন্ট
king|কিং,রাজা, নৃপতি
numbering|ক্রমায়ণ
zambia|জাম্বিয়া
phosgene|ফসজিন
trees|গাছগুলি
mare.humboldtianum|হামবোল্ড সাগর
famous|বিখ্যাত
combinations|বিন্যাস
during|সময়ে
mendelevium|মেন্ডেলিভিয়াম
intensify|জোরদার করা,জোরদার করা
alexander|আলেকজান্ডার
worshipper|পূজারী,ভক্ত
refer.to|উল্লেখ কর
querying|অনুসন্ধান
commonwealth.of.nations|বহুজাতিক কমনওয়েলথ
boost|গতি বৃদ্ধি
alteration|বদল,পরিবর্তন করা
perfume|আতর
ungratified|অপরিপূর্ণ
stored|সঞ্চিত
wheat|গম,গম
harvard.law.school|হার্ভার্ড ল স্কুল
recommendations|সুপারিশ
switzerland|সুইজারল্যাণ্ড
x|এক্স,ইংরেজী বর্ণমালার চতুর্বিংশ বর্ণ
courteous|নম্র
ascending.node|উদ্বিন্দু
scanning|স্ক্যান করা হচ্ছে
seventeen|সতেরো
asteriod|গ্রহাণু
locale|লোকেল
backtrace|ব্যাকট্রেস
prague|প্রাগ
culture|সংস্কৃতি
bethlehem|বেথেলহাম
accelerators|গতিবর্ধক
close|নিকট,বন্ধ,নিকটে,বন্ধ করা,বন্ধ করা
constellation|তারামণ্ডলী
php|পিএইচপি
dwarf|বামন
socioeconomic.structure|আর্থ-সামাজিক গঠন
henry.louis.gehrig|হেনরি লুইস গেহরিগ
gravitation|মহাকর্ষ
probable|সম্ভাব্য
abedin|আবেদীন
wow|চমৎকার
wail|আর্তনাদ,বিলাপ করা,হা-হুতাশ করা,বিলাপ
pisa|পিসা
woo|ভালবাসা অর্জনের চেষ্টা করা,প্রেমপ্রার্থনা করা,বিবাহের প্রস্তাব করা,লাভ করিতে চেষ্টা করা
automounting|স্বয়ংক্রিয় মাউন্ট-করণ
honour|সম্মান,সম্মান করা,সম্মান
incompatibility|অসঙ্গতি
architect|স্থপতী
afflicted|পীড়িত
conditions|অবস্থা
risks|ঝুঁকি
missing|নিখোঁজ,নিরুদ্দেশ
extempore|চটজলদি,তাৎক্ষণিক
poorer|গরিব
aqaba|আকাবা
aggrieve|কষ্ট দেওয়া
distinguish|আলাদা করা,পৃথক করা
dally|অলস সময় কাটানো
synodic.period|যুতিকাল
bandar.abbass|বন্দর আব্বাস
both|উভয়
useable|ব্যবহারযোগ্য
bottom.right|তলার ডানদিক
jawed|জাওয়েদ
dina.malar|দিনমালার
forgotten|ভুলে যাওয়া
inauguration|উদ্বোধন
unclutter|সুশৃঙ্খল অবস্থা
experimental|পরীক্ষামূলক
krishnaism|কৃষ্ণ ধর্ম
battery|ব্যাটারি
religious.movement|ধর্মীয় আন্দোলন
proton|প্রোটোন
cartwright|গাড়ি নির্মাতা
header|শিরোনাম,হেডার
nibble|চিবানো
linux|লিনাক্স,লিনাক্স
togolese|টোগোলিজ
skyscrapers|গগনচুম্বী অট্টালিকা
described|বর্ণনাকৃত
jinju|জিঞ্জু
stamp|ডাক টিকিট
damp|আর্দ্র
implosion|অন্তস্ফোরণ
voile|অতি সূক্ষ্ম সূতী,পশমী বা রেশমী কাপড়
us.naval.observatory|মার্কিন নৌ মানমন্দির
maintenance|রক্ষণাবেক্ষণ
territory|ভূখন্ড,অঞ্চল
empty|ফাঁকা,ফাঁকা করা
ganglion|স্নায়ু-গ্রন্থি
imam|ইমাম
sanders|স্যান্ডার্স
generating|তৈরি করা হচ্ছে
heaviest|সর্বোচ্চ ওজনদার
partly|আংশিক ভাবে
first.amendment|প্রথম সংশোধন
crack|সুদক্ষ
else|অন্যথায়
peer-reviewed.publication|মেধা পুননিরীক্ষিত প্রকাশনা
lives|বসবাস করা
disruptive|সংহতিনাশক
folklore|উপকথা
british.government|ব্রিটিশ সরকার
sputnik|স্পুৎনিক
dialing|ডায়াল করা হচ্ছে
k2|কে২
scriptmanager|লিপি ম্যানেজার
soiled|জমাট
look|দেখা,দৃষ্টিপাত,তাকানো
socialist|সমাজতান্ত্রিক,সমাজবাদী
stateless.society|রাস্ট্র শূন্য সমাজ
governor|রাজ্যপাল,গভর্নর
mushtaq|মুশতাক
while|যতক্ষণ,যখন,সময়,অল্পক্ষণ,কিছু সময়
socialism|সাম্যবাদ
smart|কেতাদুরস্ত,চটপটে
shift|স্থানান্তর,পরিবর্তন করা
fleet|নৌবহর
animated|অ্যানিমেটেড
guide|সহায়িকা,পরিচালনা করা
loop|চক্র,চক্রাকারে ঘোরা
alike|একই রকম,সমরূপ,সদৃশ,অনুরূপ
underground|পাতাল
costly|দামী,ব্যয়সাপেক্ষ
north-western|উত্তর-পশ্চিম
confound|তালগোল পাকান
professional.cricket|পেশাদার ক্রিকেট
lakshmipur|লক্ষীপুর
skype|স্কাইপ
ready|তৈরি
sorter|সর্টার
concentration|মনঃসংযোগ,ঘনত্ব
gimp|জিম্প
communal|সাম্প্রদায়িক
anymore|আরো
grant|প্রদান,প্রদান করা
belong|অন্তর্ভুক্ত হওয়া,অন্তর্ভুক্ত হওয়া
michael.faraday|মাইকেল ফ্যারাডে
parastatal|পেরাসটাটাল
madly|পাগলের মত
grand|বৃহৎ
modification|পরিমার্জন,পরিবর্তন
shah|শাহ
composition|গ্রন্থন
conflict|সংঘাতে জড়িয়ে পড়া,সংঘাত
indianapolis|ইন্ডিয়ানাপোলিস
lawyers|উকিল
ratings|রেটিং
bonus|অধিবৃত্তি
tuvalu|টুভালু
cleaning|পরিষ্কার
isolated.peak|বিচ্ছিন্ন চূড়া
brussels|ব্রাসেলস
thorium|থোরিয়াম
vitriol|ভিট্রিয়ল
database|ডেটাবেস
poland|পোল্যাণ্ড
haul|বহন করা
synopsis|সারাংশ
passdb|পাস-ডিবি
auditor|হিসাব পরীক্ষক
aesthetical|সৌন্দর্য বিজ্ঞান বিষয়ক
consistency|ধারাবাহিকতা
calcutta|কলকাতা
gsm|জিএসএম
yankees|ইয়াঙ্কিস
coup|সামরিক অভ্যুথান
abstain|বিরত থাকা,মদ্যপান না করা
64kbps|৬৪কেবিপিএস
bearer|বাহক
transference|বদলি
shivering|কাঁপা
pyrotechnic|আতসবাজি
useful|কার্যকর,কাজের
taiwan|তাইওয়ান
cast-iron|ঢালাই লোহা
fact-checking|তথ্য পরীক্ষা
password|শব্দচাবি,পাসওয়ার্ড,সাঙ্কেতিক শব্দ,গুপ্তমন্ত্র
pre-amp|প্রি-অ্যাম্প
cemetery|সমাধিস্থল
exercising|চর্চা
shortcut|চটপট,শর্টকাট
weightlessness|ওজনহীনতা
remaining|অবশিষ্ট
many.others|অন্য অনেকে
rahim|রহিম
mexico.city|মেক্সিকো সিটি
march|মার্চ
lacking|সীমাবদ্ধতা
evaluate|মূল্যায়ন করা
capacities|ধারনক্ষমতা
displaced|স্থানচ্যুত
nadezhda|নাদেঝদা
game|খেলা,দান
populous|জনবহুল
ecosystems|ইকোসিস্টেম
translucent|অস্বচ্ছ
like|অনুরূপ,মত,পছন্দ করা
kyrgyzstan|কিরঘিজস্তান
onion|পেঁয়াজ
submission|দাখিল
solar.corona|সৌরকিরীট
maltreatment|দুর্ব্যবহার
popular|জনপ্রিয়
softness|আর্দ্রতা
woodshed|কাঠের ছাদ
adulterous|ব্যভিচারী
accedent|আকস্মিক,দুর্ঘটনা
mathematical|গাণিতিক
wind-up|পরিসমাপ্তি
caspian|ক্যাস্পিয়ান
parade|প্রদর্শন করান,মিছিল,কুচকাওয়াজ
aliment|খাদ্য দ্রব্য
lal.bal.pal|লাল-বাল-পাল
creation|সৃষ্টি
some|কিছু
pierre|পিয়েরে
metres|মিটার
yolk|ডিম্বের পীতাংশ
separated|বিচ্ছিন্ন
urgent|জরুরী
lips|ঠোট
economic|অর্থনৈতিক
vcdimager|ভিসিডি ইমেজার
sportstar|স্পোর্টসস্টার
neutral.point|নিরপেক্ষ
savage|নিষ্ঠুর ব্যক্তি
qatar|কাতার
describing|বর্ণনা করা হচ্ছে
reckon|মূল্য বিচার করা
civilization|সভ্যতা
whole.thing|পুরো বিষয়
neap.tide|মরা-কটাল
retry|আবার চেষ্টা,পুনঃপ্রচেষ্টা,পুনরায় চেষ্টা করা
war-torn|যুদ্ধ বিদ্ধস্ত
transplant|ট্রান্সপ্ল্যান্ট
minimal|সর্বনিম্ন
sarajevo|সারায়েভো
mountcommand|মাউন্ট কমান্ড
measures|পরিমাপ
run|চল,চালানো,প্রয়োগ করা,চালান,দৌড়ান
soweto|সোয়েটো
rub|কচলানো,ঘসা
booklet|পুস্তিকা
processing|প্রসেসিং
step|ধাপ
viewpoints|দৃষ্টিভঙ্গি
indicator|নির্দেশক,সূচক
ache|বেদনা,ব্যাথা করা
sri.lanka|শ্রীলঙ্কা
ochre|গিরিমাটি
abroad|বিদেশ,বিদেশে,বাহিরে,অবাধে
pervez|পারভেজ
wealth|সম্পদ,ধন
shine|কিরণ দেওয়া,কিরণ দেওয়
faith|বিশ্বাস
gnome|গনোম,গুহ্‌নোম
soft|নরম,নরম,আর্দ্র
steamboat.springs|স্টিমবোট স্প্রিং
svcd|এসভিসিডি
steady-state|স্থিতাবস্থা
simulation|সিমুলেশন
hasan|হাসান
rewrite|পুনরায় লেখা,পুনরায় লেখা
allotment|আবন্টন,ভাগ,বন্টন,ভাগের অংশ
wicker|কঞ্চি,কঞ্চি নির্মিত
block|ব্লক,বনধ্,বাধা দেওয়া
subtopics|উপ-বিষয়
miracles|অলৌকিক ঘটনা
misbehavior|অশোভন আচরণ
caretaker|তত্ত্বাবধায়ক
within|মধ্যে,ভিতরে,সীমার মধ্যে
hp/ux|এইচ/ইউএক্স
ensue|উদ্ভূত হওয়া
watt|বিদ্যুৎশক্তির একক বা মান
vine|আঙ্গুর গাছ,দ্রাক্ষালতা
slovak|স্লোভাক
seasons|ঋতু
perl|পার্ল
pentagon|পঞ্চভূজ,পেন্টাগন
statistics|পরিসংখ্যান
bangladesh|বাংলাদেশ,বাংলাদেশ
pauline|পলিন
many.thanks|অসংখ্য ধন্যবাদ
accountability|জবাবদিহিতা
consultation|আলোচনা
heritage|ঐতিহ্য
kamikaze|আত্মঘাতী
wearing|পরিধেয়
sesame|তিল
manamah|মানামা
twentieth|বিংশ
manufacture|উৎ‍পাদন,উৎ‍পাদন করা
salary|মাইনে
ipfilterplugin|আই.পি. ফিল্টার প্লাগিন
approvingly|সমর্থিত ভাবে
western.world|পশ্চিমী দেশ
registered|রেজিষ্ট্রীকৃত
tonga|টোঙ্গা
non-controversial|অবিতর্কিত
films|ফিল্ম
mulberry|তুঁতগাছ
properly|সঠিকভাবে
higgle|কচলানো
golden.bangla|সোনার বাংলা
newer|অপেক্ষাকৃত নতুন
sick|অসুস্থ
russian|রুশ
mahfuz|মাহফুজ
warlike|সামরিক,রণলিপ্সু,যুদ্ধার্থ প্রস্তুত
dull|নিরানন্দময়,নিষ্প্রভ
info|তথ্য
low-quality|নিম্ন গুনমানসম্পন্ন
sunderbans|সুন্দরবন
utf|ইউটিএফ
microorganisms|জীবাণু
intuitive|স্বতঃস্ফুর্ত
restarted|রিস্টার্টকৃত
circuits|র্সাকিট
manipuri|মণিপুরী
malik|মালিক
ussr|রাশিয়া,সোভিয়েত ইউনিয়ন
wicked|দুষ্ট,পাপী,নীতিহীন,অনিষ্টকর
similar|অনুরুপ,অনুরূপ
ordered|নির্দেশকৃত,অনুমোদিত
acidity|অম্লতা,অম্লত্ব
pilgrim|তীর্থযাত্রী
subtitle|সাবটাইটেল
stefan.schimanski|স্টেফান সিমানস্কি
affracy|তুমুল কলহ
aircel|এয়ারসেল
kidney|কিডনি
fixup|মেরামত,মেরামত করা
spousal|স্বামী বা স্ত্রী সংক্রান্ত
ancestors|পূর্বসূরী
nag|নাগ
objection|আপত্তি
violate|অমান্য করা,অমান্য করা,লঙ্ঘন করা
application|অ্যাপলিকেশন,আেবদন
forgo|ত্যাগ করা
transport|পরিবহণ,পরিবহণ করা
nat|ন্যাট
department|বিভাগ,দপ্তর
manhattan|ম্যানহাটন
arithmetic|পাটিগণিত
jainism|জৈন ধর্ম
verona|ভেরোনা
draw|আঁকা,আঁকা
apparent|আপাত
excitation|উত্তেজনা
willcox|উইলকক্স
hindrance|অন্তরায়
resign|পদত্যাগ কর,পদত্যাগ করা
regulations|নিয়মকানুন
free.space|ফাঁকা জায়গা
drag|টেনে নিয়ে যাওয়া,টেনে নিয়ে যাওয়া
refrain|গানের সুর
reservation|সংরক্ষণ
heroine|নায়িকা
preside.over|সভাপতিত্ব করা
independently|স্বাধীনভাবে
correlated|পরস্পর সম্পর্কযুক্ত
dvi|ডিভিআই
syntactical|বাক্যের গঠন সম্বন্ধীয়
audiocd|অডিও সিডি
dvd|ডিভিডি
required|প্রয়োজনীয়
youtube|ইউটিউব
orbit|কক্ষপথ
prussic.acid|প্রুসিক এসিড
dvb|ডিভিবি
gnu/linux|জিএনইউ/লিনাক্স
burkina.faso|বার্কিনা ফাসো
rigid|কঠিন
filetypes|ফাইলের ধরন
kilometre|কিলোমিটার
samoa|সামোয়া
gp|জিপি
series|ধারা
produce|তৈরি করা,তৈরি করা
cheerful|আনন্দময়
diego.garcia|দিয়েগো গার্সিয়া
gd|জিডি
gb|জি-বি
go|চলা,যাওয়া,চলা,যাওয়া,যাওয়া
emboss|খোদাই করা,খোদাই করা
major.center|প্রধান কেন্দ্র
ammonia|অ্যামোনিয়া
instrumentally|যান্ত্রিকভাবে
compact|নিবিড়,ঘন বিন্যস্ত,ঠাসাঠাসি
wittingly|জেনেশুনে,ইচ্ছাকৃতভাবে
volleyball|ভলিবল
earthbound|পৃথিবী অভিমুখী
british.rule|ব্রিটিশ শাসন
alamos|আলামস
wizard|উইজার্ড,যাদুকর,মায়াবী,ঐন্দ্রজালিকা,বিস্ময়কর,কর্মান্রুষ্ঠাতা
mosque|মসজিদ
arrogance|অহংকার
rtl|আরটিএল
suite|স্যুট
friendly|বন্ধুভাবাপন্ন
smart-playlist|কেতাদুরস্ত সঙ্গীত-তালিকা
infinite|অনন্ত,অসীম
murderous|খুনে
kitts|কিট্স
demolish|ধ্বংস করা
socio-religious|ধর্মীয়-সামাজিক
acreage|কোন এক খন্ড জমিতে একরের সংখ্যা
quelling|দমনকরা
facebook|ফেইসবুক,ফেসবুক
trough|নালা
cellular|কোষবিশিষ্ট,কোষীয়,জালি
apt-get|এপিটি-গেট
principal.character|মূল চরিত্র
tiruvallur|তিরুভাল্লুর
nausea|বমি-বমি ভাব
homicidal|নরঘাতী
stiff|অনমনীয়
gender|লিঙ্গ,লিঙ্গ
button|বাটন
unusual|অচিরাচরিত
michael|মাইকেল,মিখাইল,মাইকেল
verdict|বিধান,বিচারক এর রায়
alexius|অ্যালেক্সিয়াস
tamil.nadu|তামিল নাড়ু,তামিল নাড়ু
barbara|বারবারা
enforce|বলবৎ করা,বলবৎ করা
dilute|লঘু করা
riyadh|রিয়াদ
substantial.reserve|বিপুল ভবিষ্যৎ সঞ্চয়
malonic.acid|মালোনিক এসিড
wheel-chair|হুইলচেয়ার,অসুস্থ লোকদের বহিরার নিমিত্ত চাকাওয়ালা চেয়ার বিশেষ
soul|আত্মা
jump|লাফান,লাফান
noise|কোলাহল
download|ডাউনলোড,ডাউনলোড করা
eye-candy|চোখ ধাঁধানো
click|ক্লিক,ক্লিক করা
reviews|পর্যালোচনা
bhagavan|ভগবান
opaque|অস্বচ্ছ
suppressions|দমন
anti-party|পার্টি-বিরোধী
user/group|ব্যবহারকারী/গ্রুপ
edifice|অট্টালিকা
cell|কক্ষ,কোষ,ক্ষুদ্র কক্ষ
rotten|পচা
experiment|পরীক্ষা
volatile|উদ্বায়ী,যাহা দ্রুত উবিয়া যায়,চঞ্চল
graybeard|বৃদ্ধলোক
dynamic.parallax|গতিজনিত লম্বন
brunei|ব্রুনেই
melancholy|বিষণ্ণতা
hooligan|গুন্ডা
shoreline|তটরেখা
lunar.eclipse|চন্দ্রগ্রহণ
commercial|বাণিজ্যিক
fifteenth|পঞ্চদশ
battle.creek|ব্যাটল ক্রিক
four-eyed|চারচোখা
logout|লগ আউট,লগ-আউট
dwarkanath.ganguly|দ্বারকানাথ গাঙ্গুলী
kopete|কপেট
adulterate|অপমিশ্রণ করা
convert|রূপান্তর,রূপান্তর করা
indivisible|অবিভাজ্য
noisily|সশব্দে
benevolence|পরোপকারী
products|দ্রব্য
ldapsam|এলডিএপি-স্যাম
kathmandu|কাটমান্ডু,কাঠমান্ডু
gene|জিন
salvation|উদ্ধার
warner.robins|ওয়ার্নার রবিন
wig|পরচুলা
untranslated|অননুদিত
see|দেখা,দর্শন করা,দেখা
addresses|ঠিকানা
adroitness|দক্ষতা
danger|বিপদ
pitch|শব্দের গ্রাম
win|জয়,জয় করা
manage|পরিচালনা করা,পরিচালনা করা,গোছানো
clara|ক্লারা
austria|অস্ট্রিয়া
addressee|প্রাপক
gimmick|চটকদার বস্তু
cloud|মেঘ,মেঘ
wrongdoing|অনিয়ম
mathematical.sciences|ম্যাথেম্যাটিকাল সায়েন্সেস
adequacy|প্রাচুর্য,পর্যাপ্তি
camera|ক্যামেরা
vehicle|গাড়ি,যান
agreeable|মনোরম
exhaustive|সম্পূর্ণ
noisy|কোলাহলপূর্ণ
historically|ঐতিহাসিকভাবে
milliseconds|মিলি সেকেন্ড
port-au-prince|পোর্ট-অব-প্রিন্স
formally|প্রথাগতভাবে
biblical|বাইবেলিয়
started|আরম্ভকৃত
mismatch|অমিল
fuck|যৌনসঙ্গম,যৌন-সহবাস,যৌন ‌সঙ্গম
bracketleft|বাম বন্ধনী
disabling|নিষ্ক্রিয়করণ
notability|উল্লেখযোগ্যতা
resize|পুনরায় সাইজ করা,পুনরায় সাইজ করা
socket|সকেট
planetary.nebula|গ্রহ-নীহারিকা
announcing|ঘোষনা করা হচ্ছে
somali|সোমালিয়
bifurcated.society|দ্বিধাবিভক্ত সমাজ
tap-dance|পায়ের গোড়ালি ও আঙ্গুল দিয়ে টোকা দিয়ে তাল ঠুকে নাচ
polynesia|পলিনেশিয়া
recession|মন্দা
donut|বৃত্তাকার একটি খাদ্য, ডোনাট
infinitesimal|ক্ষুদ্রাদপিক্ষুদ্র
salat|সালাত
meet|েদখা করা,দেখা করা
inhibitor|দমনকারী
conformity|সাদৃশ্য
control|নিয়ন্ত্রণ,নিয়ন্ত্রণ করা
beijing|বেইজিং
wishes|ইচ্ছা
links|লিঙ্ক
providers|প্রদানকারী
ailent|অসুস্থতা
halloween|হ্যালোউঈন
renowned.lawyer|প্রখ্যাত আইনজীবি
whart|ঘাট,জোটি
dictation|আদেশ
triangle|ত্রিভুজ,ত্রিভূজ
voice|স্বর,ব্যক্ত করা,কন্ঠস্বর,মতপ্রকাশ,মতপ্রকাশ করা
valhalla|ভালহাল্লা
hesitate|ইতস্ততঃ করা
self-publicity|আত্ম প্রচারনা
meanwhile|ইতিমধ্যে
kghostview|কেঘোস্টভিউ
arrangement|সুসজ্জায়ন
located|অবস্থিত
one-party|একদলীয়
kolkata|কলিকাতা,কলকাতা,কলিকাতা
letterbox|চিঠির বাক্স
re-use|পুনর্ব্যবহার করা
deplore|গভীর পরিতাপ করা
circular|বৃত্তাকার,বৃত্তাকার
dvd-rom|ডিভিডি-রম
pink|গোলাপী,গোলাপী
maurya|মৌর্য,মেৌর্য
time.of.transit|অতিক্রমকাল
farm|খামার,গোলাবাড়ি,খামার
restrict|নিয়ন্ত্রণ করা
aborigines|আদিম অধিবাসীগণ
matchmaker|ঘটক
zambie|জাম্বি
records|রেকর্ড
upper.house|উচ্চ-কক্ষ
spelling|বানান
stony.brook|স্টনি ব্রুক
foment|গজগজ করা
nicobar|নিকোবার
few.years|কয়েক বছর,কয়েক বছর
hellenic|হেলেনিয়
bakery|বেকারী
encyclopedia|বিশ্বকোষ,বিশ্বকোষ
agenda|সভায় আলচ্য বিষয় সূচি
aide-de-camp|পার্শ্বচর
favourites|পছন্দ
software|সফটওয়্যার
save.as|অন্য নামে সংরক্ষণ,নতুন নামে সংরক্ষণ
keeling|নিলিং
longest|দীর্ঘতম
least|অন্তত,সবচেয়ে কম
london.lock.hospital|লন্ডন লক হাসপাতাল
commerical|বাণিজ্যিক
accmpanist|গীতের সহিত সংগতকারী
hindu.mahila.vidyalaya|হিন্দু মহিলা বিদ্যালয়
lprng|এলপিআরএনজি
sperm|বীর্য,শুক্র
anticoagulant|তঞ্চন‌প্রতিরোধী,তঞ্চনপ্রতিরোধী
rendered|অঙ্কিত
gunman|বন্দুকধারী
costume|পোশাক
mentioned|উল্লেখকৃত
subversive|ক্ষতিকর
agelogn|বহু পুরাতন
deinterlacing|ডিইন্টারলেসিং
lithuania|লিথুয়েনিয়া
housewife|গৃহবধূ
him|তার
on.the.fly|তাৎক্ষণিকভাবে
youngster|বালক,ছোকরা
renameable|নামান্তরযোগ্য
dialing.speed|ডায়াল করার গতি
eye-piece|অভিনেত্র
mean.time|গড় সময়
s.|এস
popularly|জনপ্রিয়ভাবে
wells|ওয়েলস
auto|স্বয়ংক্রিয়
nokia|নোকিয়া
eclipsing.variables|আবরণী বিষমতারা
sweets|মিষ্টি
terbium|টেরবিয়াম
subtraction|বিয়োগ
front|সদর
handy|কাজের
turks|তুর্কি,তুর্ক
van.allen|ভ্যান অ্যালেন
kilometres|কিলোমিটার
masters|স্নাতকোত্তর
university|বিশ্ববিদ্যালয়
adjournment|মুলতবি
shellfire|কামান দাগা
slide|স্লাইড
magnitude|মান
mode|অবস্থা,মোড
single.day|একদিন
ablative|অপাদান কারক
prevailing|বিরাজমান
altemeter|উচ্চতাপমাপক যন্ত্র
dynamic-mode|ডাইনামিক মোড
western-style|পাশ্চাত্যরীতি
luxembourg.city|লুক্সেমবার্গ সিটি
illuminati|ইলিউমিনাটি
globe|পৃথিবী,পৃথিবী
serbia|সার্বিয়া,সার্বিয়া
retaliation|পাল্টা দূর্ব্যবহার
constitute|গঠন করা,গঠন করা
public.holiday|সরকারী ছুটির দিন
joint-stereo|জয়েন্ট-স্টেরিও
separating|বিভক্তকরণ
margins|মার্জিন
transitions|পরিবর্তন
transitional|অন্তর্বর্তীকালীন
sandy|বালুময়
ejecting|বের করছে,বের করা
entertainment|বিনোদন
armor|ঢাল
reboot|রিবুট
islamist|ইসলামি,ইসলামি
look.after|দেখা শুনা করা,দেখা শুনা করা
activist|সক্রিয় অংশগ্রহণকারী ব্যক্তি
venereal.disease|যৌন রোগ
playground|খেলার মাঠ
wick|পলতে
cause|কারণ,ঘটান,উৎপাদক,নিমিত্ত
achievements|অর্জনসমূহ
umbrella|ছাতা
cricketer|ক্রিকেট খেলোয়াড়
space-separated|স্পেস দিয়ে আলাদাকৃত
2,2-dimethylpropane|২,২-ডাইমিথাইলপ্রোপেন
diagonal|তির্যক
undo|পূর্বাবস্থায় ফিরে যাওয়া,বাতিল,বাতিল করা,বাতিল করা,পূর্বাবস্থায় ফিরে যাওয়া
gaol|গারদ
completely|সম্পূর্ণভাবে
manipur|মণিপুর
furore|উন্মাদনা
laloo|লালু
kiribati|কিরিবাতি
juiciest|রসালো
hubble|হাবল
hostile|প্রতিকূল,শত্রুভাবাপন্ন
geometry|জ্যামিতি
determining|গুরুত্বপূর্ণ
route|পথ
membership|সদস্যপদ
timer|টাইমার
keep|রাখা,রাখা
counterpart|প্রতিরুপ
timed|সময়ভিত্তিক
hexadecimal|হেক্সাডেসিমাল
austin|অস্টিন
